Detail of Gifts,Item Category,Name of Recipient,Affiliation,Date,Assessed Value,Retention Cost,Retained,Remarks
"One  decoration
piece (Scenery)",Decoration Pieces,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen Mush,2003-09-25,1500.0,0.0,Yes,Yes
"One  cigar  box
(decoration piece)",Cigar/Cigarettes,"Mr.  Shaukat  Aziz,
Finance Minister",Gen Mush,2003-09-27,2000.0,0.0,Yes,Yes
"One  decoration
piece",Decoration Pieces,"Mr.  Shaukat  Aziz,
Finance Minister",Gen Mush,2003-09-27,1800.0,0.0,Yes,Yes
"Wrist  Watch
(Concord)",Watch,"Mr. Rashid Ali Khan,
Chief  Reporter,  APP,
Karachi",Media,2003-09-30,30000.0,3000.0,Yes,Yes
"One  flower  vase
(silver)",Decoration Pieces,"Col.  Salik  Nawaz
(Retd),  Deputy
Chief of Protocol",Military,2003-10-02,1500.0,0.0,Yes,Yes
"a. 3 coins
b. One  wooden
frame
c. A model of boat",,"Mr.  Nawid  Ahsan
Secretary, Finance",Bureaucracy,2003-10-09,5800.0,0.0,Yes,Yes
"One  crystal
decoration piece",Decoration Pieces,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen Mush,2003-10-13,22000.0,1800.0,Yes,Yes
"Crystal  Globe
(The  Spirit  of
Enterprises)",,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen Mush,2003-10-13,15000.0,750.0,Yes,Yes
"Ceramic  bowl
(Chicago Skyline)",,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen Mush,2003-10-13,8500.0,0.0,Yes,Yes
One table lamp,,"Dr.  Waqar  Masood
Khan,  Secretary,
EAD",Bureaucracy,2003-10-13,2000.0,0.0,Yes,Yes
"One  wooden
decoration piece",Decoration Pieces,"Mr.  Shaukat  Aziz,
Finance Minister",Gen Mush,2003-10-14,2000.0,0.0,Yes,Yes
"Betel  Nut
container",,"General  Parvez
Musharraf, President
of Pakistan",Military,2003-10-20,2500.0,0.0,Yes,Yes
Two small boxes,,"General  Parvez
Musharraf, President
of Pakistan",Military,2003-10-20,1600.0,0.0,Yes,Yes
One Carpet,Carpet,"General  Parvez
Musharraf, President
of Pakistan",Military,2003-10-20,21000.0,1650.0,Yes,Yes
"a. Wrist  Watch
Bvlgari (Gents)
b. Wrist  Watch
Bvlgari (Lady’s)",Watch,"Col.  Salik  Nawaz,
Deputy  Chief  of
Protocol,  Foreign
Affairs",Military,2003-10-20,120000.0,16500.0,Yes,Yes
"Dinner  set  (48
pcs)",,"General  Parvez
Musharraf, President
of Pakistan",Military,2003-10-20,4500.0,0.0,Yes,Yes
"One  wall  hanging
Carpet",Carpet,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen Mush,2003-10-23,15000.0,0.0,Yes,Yes
One shield,,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen Mush,2003-10-23,0.0,0.0,Yes,Yes
"a. Wrist  Watch
Roberge Gent’s,
b. Wrist  Watch
Roberge Ladies",Watch,"Mr.  Shaukat  Aziz,
Minister for Finance",Gen Mush,2003-10-23,0.0,0.0,Auctioned,"Auctioned
a.  for
Rs.61,500/-
b.  for
Rs.48,000/-"
"a. Two Pen
b. Pair of Cufflinks
c. Gent’s ring
d. One bracelet
e. One lady’s ring
f. Pair of ear stud
g. One Calculator
h. One  magnifying
glass
i. One Tasbih
j. One brief case",,"Mr.  Shaukat  Aziz,
Minister for Finance",Gen Mush,2003-10-23,190754.0,19034.0,Yes,Yes
"a. 30  audio
cassettes+  Holy
Quran
b. Ghilaf e Kaaba
c. Jewelry set
d. Model  of  Holy
Stone of Kaaba",,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen Mush,2003-10-24,17000.0,0.0,Yes,Yes
"Wrist  Watch
Concord",Watch,"Syed  Afzal  Hussain
Shah,  Protocol
Officer,  Foreign
Affairs",Military,2003-10-24,0.0,5250.0,Yes,Yes
"Decoration  Piece
(Falcon)  (Golden
Color)",Decoration Pieces,"Mr.  Khurshid
Mahmood  Kasuri,
Foreign Minister",Gen Mush,2003-10-24,22000.0,1800.0,Yes,Yes
"a. One  wrist  watch
Lady
b. Gent’s Ring
c. Lady’s Ring
d. Pair of Cufflinks
e. Pair of Ear Rings
f. Pen in 18kt
g. String of Beads
h. Magnifying Glass
i. Calculator
j. Brief Case",Watch,"Brig.(R)  Mian  Khalid
Habib,  Chief  of
Protocol,  Foreign
Affairs",Military,2003-10-24,183699.0,26055.0,Yes,Yes
"One  decoration
piece",Decoration Pieces,"Mr.  Shaukat  Aziz,
Finance Minister",Gen Mush,2003-10-25,1000.0,0.0,Yes,Yes
"a. Wrist  Watch
Bvgari (Gents|)
b. Wrist  Watch
Bvlgari Lady’s",Watch,"Sheikh  Rasheed
Ahmed,  Minister  for
Information",Gen Mush,2003-10-25,35000.0,10500.0,Yes,Yes
Leather Folio,,"Col.  Salik  Nawaz
(Retd),  Deputy
Chief of Protocol",Military,2003-10-27,1400.0,0.0,Yes,Yes
One ceramic tray,,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen Mush,2003-10-29,1500.0,0.0,Yes,Yes
"One  decoration
piece (Bowl)",Decoration Pieces,"Dr.  Waqar  Masood
Khan,  Secretary,
Economic  Affairs
Division",Bureaucracy,2003-10-30,1000.0,0.0,Yes,Yes
"Wrist  Watch
Concord",Watch,"Ms.  Seema  Elahi
Baloch,  Deputy
Chief  of  Protocol,
Foreign Affairs",Bureaucracy,2003-11-01,55000.0,6750.0,Yes,Yes
One wall hanging,,Foreign Secretary,Bureaucracy,2003-11-06,1200.0,0.0,Yes,Yes
"a. One wall hanging
b. One carpet
c. Four rings",Carpet,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen Mush,2003-11-07,28600.0,2790.0,Yes,Yes
"Barghai-e-Zarrin
(Quranic Verses)",,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen Mush,2003-11-07,0.0,0.0,Yes,Yes
"One  bottle  of
Saffron",,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen Mush,2003-11-07,0.0,0.0,Yes,Yes
"Four  cottons  of
Zaitoon",,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen Mush,2003-11-07,0.0,0.0,Yes,Yes
"One  album  of
religious  and
historical places",,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen Mush,2003-11-07,0.0,0.0,Yes,Yes
"Five  packets  of
Tabaruk",,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen Mush,2003-11-07,0.0,0.0,Yes,Yes
"Packet  of
pistachio",,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen Mush,2003-11-07,0.0,0.0,Yes,Yes
"One  Wrist  Watch
(Samsung)",Watch,"Syed  Afzal  Hussain
Shah,  Protocol
Officer  (V-II),
Foreign Affairs",Military,2003-11-11,1200.0,0.0,Yes,Yes
"One  Wrist  Watch
(Samsung)",Watch,"Mr.  Salman  Bashir,
Additional  Secretary
(AP), Foreign Affairs",Bureaucracy,2003-11-11,1200.0,0.0,Yes,Yes
VCD Player,,"Dr.  Abdul  Hafeez
Shaikh,  Minister  for
Privatization",Gen Mush,2003-11-13,2000.0,0.0,Yes,Yes
"One  Wrist  Watch
(Samsung)",Watch,"Dr.  Abdul  Hafeez,
Shaikh,  Minister  for
Privatisation",Gen Mush,2003-11-13,1200.0,0.0,Yes,Yes
"One  VCD  MP3  CD
No. 03151898",,"Mr.  Shaukat  Aziz,
Finance Minister",Gen Mush,2003-11-14,2500.0,0.0,Yes,Yes
"One  Wrist  Watch
(Samsung)",Watch,"Mr.  Shaukat  Aziz,
Finance Minister",Gen Mush,2003-11-14,1200.0,0.0,Yes,Yes
One Ball Point,,"Mr.  Shaukat  Aziz,
Finance Minister",Gen Mush,2003-11-14,1000.0,0.0,Yes,Yes
"One  jewelry  box
containing
Jewellery",,"First  lady,  wife  of
General  Parvez
Musharraf, President
of Pakistan",Military,2003-11-18,0.0,0.0,Yes,Yes
Decoration piece,Decoration Pieces,"General  Parvez
Musharraf, President
of Pakistan",Military,2003-11-18,1000.0,0.0,Yes,Yes
"One  Wrist  Watch
(Samsung)",Watch,Foreign Secretary,Bureaucracy,2003-11-18,1200.0,0.0,Yes,Yes
"One  VCD  Player
(Portable)",,Foreign Secretary,Bureaucracy,2003-11-18,2500.0,0.0,Yes,Yes
One Laptop,,"Mr.  Zia-ul-Islam,
Joint  Secretary,
Ministry of Interior",Bureaucracy,2003-11-21,100000.0,13500.0,Yes,Yes
One souvenir,,"Chairman  National
Tariff Commission",Bureaucracy,2003-11-22,0.0,0.0,"Displayed at
Chairman
National Tariff
Commission
office","Displayed at
Chairman
National Tariff
Commission
office"
One incense bowl,,"General  Parvez
Musharraf, President
of Pakistan",Military,2003-12-02,0.0,0.0,Yes,Yes
"One  decoration
piece",Decoration Pieces,"Mr.  Shaukat  Aziz,
Finance Minister",Gen Mush,2003-12-03,3500.0,0.0,Yes,Yes
"One  Wrist  Watch
(Samsung)",Watch,"Major  General
Nadeem  Taj,
Military  Secretary  to
President",Military,2003-12-05,1200.0,0.0,Yes,Yes
"One  Wrist  Watch
(Samsung)",Watch,"Mrs.  Major  General,
Nadeem  Taj,
Military  Secretary  to
President",Military,2003-12-05,1200.0,0.0,Yes,Yes
"One  Wrist  Watch
(Samsung)",Watch,"Lt.  Col.  Asim
Saleem,  Deputy
Military  Secretary  to
President",Military,2003-12-05,1200.0,0.0,Yes,Yes
One scenery,,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen Mush,2003-12-06,8500.0,0.0,Yes,Yes
Wall mirror,,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen Mush,2003-12-06,7000.0,0.0,Yes,Yes
"Three  cups  with
saucer",,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen Mush,2003-12-15,1000.0,0.0,Yes,Yes
One insignia,,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen Mush,2003-12-15,0.0,0.0,Yes,Yes
,,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen Mush,2003-12-15,0.0,0.0,,
,,"Mr.  Shaukat  Aziz,
Finance Minister",Gen Mush,2003-12-16,0.0,0.0,,
,,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen Mush,2003-12-19,0.0,0.0,,
,,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen Mush,2003-12-19,0.0,0.0,,
,,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen Mush,2003-12-19,0.0,0.0,,
,,"Mr.  Waqar  Masood
Khan,  Secretary,
Economic Affairs",Bureaucracy,2003-12-23,0.0,0.0,,
"One  Porcelain
decoration  piece
(Flower Vase)",Decoration Pieces,"Mr. Shaukat Aziz, Finance
Minister",Gen Mush,2004-01-07,1000.0,0.0,Yes,Yes
"Silver  decoration
piece (Room)",Decoration Pieces,"Mr. Shaukat Aziz, Finance
Minister",Gen Mush,2004-01-07,6500.0,0.0,Yes,Yes
"Ladies  Banarsi  (Silk)
Sari",,"Mr. Shaukat Aziz, Finance
Minister",Gen Mush,2004-01-07,3000.0,0.0,Yes,Yes
One Small Dagger,,"Syed  Afzal  Hussain  Shah,
Protocol  Officer  (V-II),
Foreign Affairs",Military,2004-01-12,500.0,0.0,Yes,Yes
"a. One Shirt
b. One Tie",,"Syed  Afzal  Hussain  Shah,
Protocol  Officer  (V-II),
Foreign Affairs",Military,2004-01-12,650.0,0.0,Yes,Yes
One Shirt,,"Col.  Salik  Nawaz  (Retd),
Deputy  Chief  of  Protocol,
Foreign Affairs",Military,2004-01-12,500.0,0.0,Yes,Yes
"a. One necklace
b. One  decoration
piece",Jewellery/Accessories,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-01-13,9500.0,0.0,Yes,Yes
"a. One tin of tea
b. One carpet",Crockery,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-01-13,5000.0,0.0,Yes,Yes
"a. One mat
b. Tuna Fish
c. One diary+ book",,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-01-13,7600.0,0.0,Yes,Yes
"a. One Saree Silk
b. One silver box",,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-01-13,24500.0,2175.0,Yes,Yes
"One  wooden
decoration piece",Decoration Pieces,"Brig.  Tahir  Mahmud
Malik,  Military  Secretary
to the Prime Minister",Military,2004-01-13,450.0,0.0,Yes,Yes
One Rug,,"General  Parvez
Musharraf,  President  of Pakistan",Military,2004-01-15,2500.0,0.0,Yes,Yes
Table set (marble),,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-01-15,22000.0,1800.0,Yes,Yes
One small carpet,Carpet,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-01-15,12000.0,300.0,Yes,Yes
One Carpet,Carpet,"Brig.  Tahir  Mahmud
Malik,  Military  Secretary
to the Prime Minister",Military,2004-01-20,4000.0,0.0,Yes,Yes
One Flower Vase,Decoration Pieces,"Lt.  Cdr.  Ahmad  Farooq
Butt,  ADC  to  the  Prime
Minister",Military,2004-01-20,1200.0,0.0,Yes,Yes
One Carpet,Carpet,"Mr. Shaukat Aziz, Finance
Minister",Gen Mush,2004-01-21,5000.0,0.0,Yes,Yes
"One  pot  (decoration
piece)",Decoration Pieces,"Mr. Shaukat Aziz, Finance
Minister",Gen Mush,2004-01-21,1500.0,0.0,Yes,Yes
Rolex Wrist watch,Watch,"Aijaz  Ahmed  Chaudhary,
MNA",Gen Mush,2004-01-26,335000.0,48750.0,Yes,Yes
"a. Gold  set
consisting  of  one
gold  necklace,
one  gold  ring,
pair of ear ring
b. Nokia Mobile set",,"Aijaz  Ahmed  Chaudhary,
MNA",Gen Mush,2004-01-26,82469.0,10870.0,Yes,Yes
"a. One  metal
decoration piece
b. One saree",Clothes,"General  Parvez
Musharraf,  President  of
Pakistan",Military,2004-01-27,2850.0,0.0,Yes,Yes
One carpet,Carpet,"General  Parvez
Musharraf,  President  of
Pakistan",Military,2004-01-27,3000.0,0.0,Yes,Yes
"One  wooden  Flower
vase",Decoration Pieces,"General  Parvez
Musharraf,  President  of
Pakistan",Military,2004-01-27,8500.0,0.0,Yes,Yes
"a. One metal vase
b. Two silk Saree",Decoration Pieces,"General  Parvez
Musharraf,  President  ofPakistan",Military,2004-01-27,91700.0,12255.0,Yes,Yes
"a. One  Gem
Studded Elephant
b. One Saree",,"General  Parvez
Musharraf,  President  of
Pakistan",Military,2004-01-27,6000.0,0.0,Yes,Yes
"Three  packet  set
(Leather)",,"General  Parvez
Musharraf,  President  of
Pakistan",Military,2004-01-27,0.0,0.0,Yes,Yes
One decoration box,Decoration Pieces,"Mr. Shaukat Aziz, Finance
Minister",Gen Mush,2004-01-29,550.0,0.0,Yes,Yes
"One  looking  glass
with silver",,"Mr. Shaukat Aziz, Finance
Minister",Gen Mush,2004-01-29,800.0,0.0,Yes,Yes
"Large box containing
a  picture  in  a  glass
frame",,"General  Parvez
Musharraf,  President  of
Pakistan",Military,2004-01-31,10000.0,0.0,Yes,Yes
"a. Two pens
b. One wrist watch
c. One  Ebel  ladies
wrist watch
d. One  decoration
piece
e. One Tasbeeh",Watch,"General  Parvez
Musharraf,  President  of
Pakistan",Military,2004-01-31,783250.0,115988.0,Yes,Yes
"One  silver
decoration piece",Decoration Pieces,"Mr. Shaukat Aziz, Finance
Minister",Gen Mush,2004-01-31,2163.0,0.0,Yes,Yes
"One  concord  wrist
watch",Watch,"Mr.  M.  Arshad  Saleem,
News Reporter PTV",Media,2004-02-17,15000.0,750.0,Yes,Yes
"One  concord  wrist
watch",Watch,"Faqir  Ahmed  Controller
news PBC",Media,2004-02-21,15000.0,750.0,Yes,Yes
"One
Metallic/Ceramic
Plate",,"Col.  Salik  Nawaz,  Deputy
Chief  of  Protocol,  Foreign
Affairs.",Military,2004-02-23,1500.0,0.0,Yes,Yes
One gents shirt,,"Mr. Shaukat Aziz, Finance
Minister",Gen Mush,2004-02-24,450.0,0.0,Yes,Yes
One decoration piece,Decoration Pieces,"Mr. Shaukat Aziz, FinanceMinister",Gen Mush,2004-02-24,4500.0,0.0,Yes,Yes
"One  Wrist  Watch
Concord",Watch,"Mr. Arif Mahmud, Director
(Gulf  Region),  Foreign
Affairs",Bureaucracy,2004-02-25,45000.0,5250.0,Yes,Yes
"One
Metallic/Ceramic
Plate",,"Brig. ®Mian Khalid Habib,
Chief  of  Protocol,  Foreign
Affairs",Military,2004-02-28,1500.0,0.0,Yes,Yes
"Wrist  Watch
(Concord)",Watch,"Mr.  Masood  Akhtar,
Deputy  Chief  of  Protocol,
Foreign Affairs",Military,2004-03-03,75000.0,9750.0,Yes,Yes
One decoration bowl,Decoration Pieces,"Mr. Nawid Ahsan, Finance
Secretary",Bureaucracy,2004-03-04,1800.0,0.0,Yes,Yes
One Ash Tray,,"Mir  Zafarullah Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-03-05,1500.0,0.0,Yes,Yes
Fruit Bowl,,"Waqar  Mehsood  Khan,
Secretary,  Economic
Affairs Division",Bureaucracy,2004-03-08,2200.0,0.0,Yes,Yes
One Flower Vase,Decoration Pieces,"Col.  Salik  Nawaz,  Deputy
Chief  of  Protocol,  Foreign
Affairs.",Military,2004-03-09,1200.0,0.0,Yes,Yes
"One  Jewellery
box containing: -
a. One necklace
b. One bracelet
c. One  pair  of  ear
ring
d. One ring
e. One  model  of
Hajr-e-Aswad",,"General  Parvez
Musharraf,  President  of
Pakistan",Military,2004-03-10,4740080.0,709512.0,Yes,Yes
One Dagger,,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-03-10,18875.0,1331.0,Yes,Yes
"Two  bookplate,  one
book and Insignia",,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-03-10,0.0,0.0,Yes,Yes
One  dinner  Set  45,,Mir  Zafarullah  Khan,Gen Mush,2004-03-10,5500.0,0.0,Yes,Yes
"a. One Flower vase
b. One ladies suit",Decoration Pieces,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-03-10,9500.0,0.0,Yes,Yes
Replica of Boat,,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-03-10,9000.0,0.0,Yes,Yes
One Flower Vase,Decoration Pieces,"Brig. ®Mian Khalid Habib,
Chief  of  Protocol,  Foreign
Affairs",Military,2004-03-10,1200.0,0.0,Yes,Yes
"a. One  wrist  watch
Bvlgari
b. One  wrist  watch
Bvlgari",Watch,"Brig.  Mian  Khalid  Habib,
Chief Protocol",Military,2004-03-10,75000.0,9750.0,Yes,Yes
"One  concord  wrist
watch Bvlgari",Watch,"Syed Afzal Shah,  Protocol
Officer, Foreign Affairs",Military,2004-03-10,15000.0,750.0,Yes,Yes
"One  concord  wrist
watch Bvlgari",Watch,"Mr. Abdul Shaifq, Director
General  (Imp),  President
Sectt.",Military,2004-03-10,15000.0,750.0,Yes,Yes
"a. One  wrist  watch,
Bvlgari
b. One  wrist  watch,
Bvlgari",Watch,"Mr.  Khurshid  Mahmud
Kasuri, Foreign Minister",Gen Mush,2004-03-11,55000.0,6750.0,Yes,Yes
"a. One  wrist watch
Bvlgari
b. One  wrist  watch
Bvlgari",Watch,"Shaikh  Rashid  Ahmed,
Minister for Information &
Broadcasting",Bureaucracy,2004-03-11,85000.0,11250.0,Yes,Yes
"One  wrist  watch
Christian Dior",Watch,"Mr.  Shafkat  Saeed,
Additional  Secretary
(Foreign Affairs)",Bureaucracy,2004-03-11,20000.0,1500.0,Yes,Yes
"One  Water  Man
(Pen)",Pen,"Mr. Shaukat Aziz, Finance
Minister",Gen Mush,2004-03-16,1400.0,0.0,Yes,Yes
"One decoration piece
(flower vase)",Decoration Pieces,"Mr. Shaukat Aziz, Finance
Minister",Gen Mush,2004-03-16,3000.0,0.0,Yes,Yes
One stone sculpture,,"Mr. Shaukat Aziz, Finance
Minister",Gen Mush,2004-03-16,0.0,0.0,Yes,Yes
"One Calligraphy duly
framed",,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-03-21,5500.0,0.0,Yes,Yes
One Replica of Horse,,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-03-21,5000.0,0.0,Yes,Yes
"Crystal  decoration
piece",Decoration Pieces,"General  Parvez
Musharraf,  President  of
Pakistan",Military,2004-03-24,4500.0,0.0,Yes,Yes
One flower vase,Decoration Pieces,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-03-24,4000.0,0.0,Yes,Yes
One Ceramic plate,,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-03-24,0.0,0.0,Yes,Yes
One pocket pen,Pen,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-04-02,2000.0,0.0,Yes,Yes
One framed picture,,"Brig. ®Mian Khalid Habib,
Chief  of Protocol,  Foreign
Affairs",Military,2004-04-03,3500.0,0.0,Yes,Yes
Two flower vases,Decoration Pieces,"General  Parvez
Musharraf,  President  of
Pakistan",Military,2004-04-05,4500.0,0.0,Yes,Yes
"One  Ewer  (Yellow  &
Brown glaze)",,"Mir  Zafarullah  Khan
Jamali,  Prime Minister  of
Pakistan",Gen Mush,2004-04-12,5000.0,0.0,Yes,Yes
Four Bed Sheets,,"Mr. Shaukat Aziz, Finance
Minister",Gen Mush,2004-04-12,2200.0,0.0,Yes,Yes
"One  Mobile  Set
(Pocket  PC)  (with
accessories)",,"Mr. Shaukat Aziz, Finance
Minister",Gen Mush,2004-04-12,44000.0,5100.0,Yes,Yes
"Crystal  Cigarette
Box",Cigar/Cigarettes,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-04-13,2000.0,0.0,Yes,Yes
Crystal Fruit Bowl,,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-04-13,9000.0,0.0,Yes,Yes
"One  Scenery  duly
framed",,"Mr.  Faridullah  Khan
Jamali",Gen Mush,2004-04-16,3000.0,0.0,Yes,Yes
Shanghai Shawl,,"Waqar  Mehsood  Khan,
Secretary,  Economic
Affairs Division",Bureaucracy,2004-04-16,2000.0,0.0,Yes,Yes
"One  wrist  watch
concord",Watch,"Mr.  Ehsanullah,  LDC
President Sectt.",Bureaucracy,2004-04-20,15000.0,0.0,Yes,Yes
One Carpet,Carpet,"Mr.  Muhammad  Azam
Rathore,  Additional
Secretary  (IPC),  Cabinet
Division.",Bureaucracy,2004-04-24,8000.0,0.0,Yes,Yes
"One  Flower  Vase
(Silver)",Decoration Pieces,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-05-04,5500.0,0.0,Yes,Yes
One decoration piece,Decoration Pieces,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-05-04,1500.0,0.0,Yes,Yes
One Pen Set,Pen,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-05-04,600.0,0.0,Yes,Yes
Model of Ship,,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-05-04,9500.0,0.0,Yes,Yes
"One  Silver
decoration piece",Decoration Pieces,"Mir  Zafarullah Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-05-04,8000.0,0.0,Yes,Yes
One decoration piece,Decoration Pieces,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-05-04,1000.0,0.0,Yes,Yes
"A  Photograph  duly
framed",,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of",Gen Mush,2004-05-04,0.0,0.0,Yes,Yes
One decoration piece,Decoration Pieces,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-05-04,2500.0,0.0,Yes,Yes
One wall hanging,,"Brig.  Tahir  Mahmud
Malik,  Military  Secretary
to the Prime Minister",Military,2004-05-04,1200.0,0.0,Yes,Yes
One Carpet,Carpet,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-05-05,8000.0,0.0,Yes,Yes
"Pair  of  Glass  Flower
Vase",Decoration Pieces,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-05-05,500.0,0.0,Yes,Yes
Pair of Flower Vases,Decoration Pieces,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-05-05,500.0,0.0,Yes,Yes
Pair of flower Vases,Decoration Pieces,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-05-05,0.0,0.0,Yes,Yes
"Packet of gift (small)
(wall  hanging  plate)
(silver)",,"Mr.  Wali  Mohammad
Badini Senator",Gen Mush,2004-05-06,1200.0,0.0,Auctioned,"Gift auctioned
for Rs.1,310/-"
"A  wall  Hanging
(Metal plate)",,"Dr.  Abdul  Hafeez  Sheikh,
Minister for Privatization",Gen Mush,2004-05-10,1200.0,0.0,Yes,Yes
Laptop Acer,,"Mir  Faridullah  Khan
Jamali",Gen Mush,2004-05-10,95000.0,12750.0,Yes,Yes
"One wrist watch
Bvlgari",Watch,"Mir  Faridullah  Khan
Jamali",Gen Mush,2004-05-10,62000.0,7800.0,Yes,Yes
"One wrist watch
Concord",Watch,"Mir  Faridullah  Khan
Jamali",Gen Mush,2004-05-10,45000.0,5250.0,Yes,Yes
"One wrist watch
Omega",Watch,"Mir  Faridullah  Khan
Jamali",Gen Mush,2004-05-10,315000.0,45750.0,Yes,Yes
"One  wrist  watch
concord",Watch,"Lt.  Col.  Asim  Saleem
Bajwa,  Deputy  Military
Secretary  to  the  Prime
Minister",Military,2004-05-11,15000.0,750.0,Yes,Yes
"One  wrist  watch
concord",Watch,"Mr.  Sanaullah,
Cameraman",Media,2004-05-11,15000.0,750.0,Yes,Yes
"One  wrist  watch
concord",Watch,"Mr.  Afzal  Tanveer,
Engineer",Bureaucracy,2004-05-11,15000.0,750.0,Yes,Yes
One Silk Carpet,Carpet,"Mr. Shaukat Aziz, Finance
Minister",Gen Mush,2004-05-12,8000.0,0.0,Yes,Yes
"Pair of Cufflinks with
Tie Pin",,"Mr. Shaukat Aziz, Finance
Minister",Gen Mush,2004-05-12,1500.0,0.0,Yes,Yes
Onyx flower Vase,Decoration Pieces,"Col.  Salik  Nawaz,  Deputy
Chief  of  Protocol,  Foreign
Affairs",Military,2004-05-18,800.0,0.0,Yes,Yes
Gift Pack (Massager),,"Mr.  J.  Bashar,  Secretary,
Board of Investment",Bureaucracy,2004-05-18,3500.0,0.0,Yes,Yes
"One  Small  Empty
Box",,"Dr.  Tariq  Hassan,
Chairman  Securities  and
Exchange  Commission  of
Pakistan",Bureaucracy,2004-05-18,400.0,0.0,Yes,Yes
One Dagger,,"Waqar  Mehsood  Khan,
Secretary,  Economic
Affairs Division",Bureaucracy,2004-05-20,2000.0,0.0,Yes,Yes
